Zip,population,density,City,St,State,CitySt,County,Country,Coordinates,lat,long
92337,38868,1049.1,Fontana,California,CA,"Fontana,CA",San Bernardino,US,"34.0498, -117.4706",34.0498,-117.4706
92338,0,0,Ludlow,California,CA,"Ludlow,CA",San Bernardino,US,"34.7211, -116.16",34.7211,-116.16
92339,1185,32.3,Forest Falls,California,CA,"Forest Falls,CA",San Bernardino,US,"34.0937, -116.9362",34.0937,-116.9362
92340,1185,32.3,Hesperia,California,CA,"Hesperia,CA",San Bernardino,US,"34.4264, -117.3009",34.4264,-117.3009
92341,203,22.4,Green Valley Lake,California,CA,"Green Valley Lake,CA",San Bernardino,US,"34.2348, -117.066",34.2348,-117.066
92342,6508,23.4,Helendale,California,CA,"Helendale,CA",San Bernardino,US,"34.7499, -117.3367",34.7499,-117.3367
92344,23003,208.3,Hesperia,California,CA,"Hesperia,CA",San Bernardino,US,"34.4239, -117.4075",34.4239,-117.4075
92345,80808,370.5,Hesperia,California,CA,"Hesperia,CA",San Bernardino,US,"34.4222, -117.3025",34.4222,-117.3025
92346,61751,832.7,Highland,California,CA,"Highland,CA",San Bernardino,US,"34.1283, -117.2087",34.1283,-117.2087
92347,843,4.5,Hinkley,California,CA,"Hinkley,CA",San Bernardino,US,"34.9279, -117.1809",34.9279,-117.1809
92350,843,4.5,Loma Linda,California,CA,"Loma Linda,CA",San Bernardino,US,"34.0483, -117.2612",34.0483,-117.2612
92352,5729,320.3,Lake Arrowhead,California,CA,"Lake Arrowhead,CA",San Bernardino,US,"34.2606, -117.2016",34.2606,-117.2016
92354,21679,1703.8,Loma Linda,California,CA,"Loma Linda,CA",San Bernardino,US,"34.0528, -117.2513",34.0528,-117.2513
92356,6065,6.3,Lucerne Valley,California,CA,"Lucerne Valley,CA",San Bernardino,US,"34.447, -116.9189",34.447,-116.9189
92357,6065,6.3,Loma Linda,California,CA,"Loma Linda,CA",San Bernardino,US,"34.0483, -117.2612",34.0483,-117.2612
92358,782,13.8,Lytle Creek,California,CA,"Lytle Creek,CA",San Bernardino,US,"34.2558, -117.5186",34.2558,-117.5186
92359,9056,186.8,Mentone,California,CA,"Mentone,CA",San Bernardino,US,"34.0774, -117.1126",34.0774,-117.1126
92363,5407,10.4,Needles,California,CA,"Needles,CA",San Bernardino,US,"34.7824, -114.5871",34.7824,-114.5871
92364,0,0.1,Nipton,California,CA,"Nipton,CA",San Bernardino,US,"35.4667, -115.2722",35.4667,-115.2722
92365,2792,5.9,Newberry Springs,California,CA,"Newberry Springs,CA",San Bernardino,US,"34.885, -116.7464",34.885,-116.7464
92366,2792,5.9,Mountain Pass,California,CA,"Mountain Pass,CA",San Bernardino,US,"35.4703, -115.545",35.4703,-115.545
92368,1100,15.4,Oro Grande,California,CA,"Oro Grande,CA",San Bernardino,US,"34.6178, -117.3327",34.6178,-117.3327
92369,1100,15.4,Patton,California,CA,"Patton,CA",San Bernardino,US,"34.1358, -117.2239",34.1358,-117.2239
92371,17882,46.3,Phelan,California,CA,"Phelan,CA",San Bernardino,US,"34.4449, -117.5196",34.4449,-117.5196
92372,6282,86.1,Pinon Hills,California,CA,"Pinon Hills,CA",San Bernardino,US,"34.4429, -117.6403",34.4429,-117.6403
92373,33264,316.8,Redlands,California,CA,"Redlands,CA",San Bernardino,US,"34.0397, -117.1804",34.0397,-117.1804
92374,43633,831.6,Redlands,California,CA,"Redlands,CA",San Bernardino,US,"34.065, -117.1672",34.065,-117.1672
92375,43633,831.6,Redlands,California,CA,"Redlands,CA",San Bernardino,US,"34.0556, -117.1825",34.0556,-117.1825
92376,87027,2328.4,Rialto,California,CA,"Rialto,CA",San Bernardino,US,"34.1132, -117.3771",34.1132,-117.3771
92377,19556,756.1,Rialto,California,CA,"Rialto,CA",San Bernardino,US,"34.1561, -117.4042",34.1561,-117.4042
92378,263,85.3,Rimforest,California,CA,"Rimforest,CA",San Bernardino,US,"34.2297, -117.225",34.2297,-117.225
92382,4709,134.9,Running Springs,California,CA,"Running Springs,CA",San Bernardino,US,"34.2102, -117.1109",34.2102,-117.1109
92385,202,14.4,Skyforest,California,CA,"Skyforest,CA",San Bernardino,US,"34.2353, -117.1792",34.2353,-117.1792
92386,2140,457.1,Sugarloaf,California,CA,"Sugarloaf,CA",San Bernardino,US,"34.2372, -116.8277",34.2372,-116.8277
92391,2479,418.8,Twin Peaks,California,CA,"Twin Peaks,CA",San Bernardino,US,"34.2379, -117.2348",34.2379,-117.2348
92392,58204,567.4,Victorville,California,CA,"Victorville,CA",San Bernardino,US,"34.4802, -117.4082",34.4802,-117.4082
92393,58204,567.4,Victorville,California,CA,"Victorville,CA",San Bernardino,US,"34.5361, -117.2912",34.5361,-117.2912
92394,35365,469.6,Victorville,California,CA,"Victorville,CA",San Bernardino,US,"34.5563, -117.3528",34.5563,-117.3528
92395,42741,939.1,Victorville,California,CA,"Victorville,CA",San Bernardino,US,"34.5016, -117.2944",34.5016,-117.2944
92397,4571,182.7,Wrightwood,California,CA,"Wrightwood,CA",San Bernardino,US,"34.3628, -117.6249",34.3628,-117.6249
92398,2098,19,Yermo,California,CA,"Yermo,CA",San Bernardino,US,"34.905, -116.8203",34.905,-116.8203
92399,54163,383,Yucaipa,California,CA,"Yucaipa,CA",San Bernardino,US,"34.0282, -117.0489",34.0282,-117.0489
92401,1929,862.5,San Bernardino,California,CA,"San Bernardino,CA",San Bernardino,US,"34.1105, -117.2898",34.1105,-117.2898
92402,1929,862.5,San Bernardino,California,CA,"San Bernardino,CA",San Bernardino,US,"34.1083, -117.2898",34.1083,-117.2898
92403,1929,862.5,San Bernardino,California,CA,"San Bernardino,CA",San Bernardino,US,"34.1083, -117.2898",34.1083,-117.2898
92404,61216,787.2,San Bernardino,California,CA,"San Bernardino,CA",San Bernardino,US,"34.1426, -117.2606",34.1426,-117.2606
92405,30511,2359.3,San Bernardino,California,CA,"San Bernardino,CA",San Bernardino,US,"34.1446, -117.3013",34.1446,-117.3013
92406,30511,2359.3,San Bernardino,California,CA,"San Bernardino,CA",San Bernardino,US,"34.1083, -117.2898",34.1083,-117.2898
